No,Provinsi,Tahun,Kabupaten/Kota,Satuan,Fisik,Psikis,Seksual,Eksploitasi,TPPO,Penelantaran,Cluster,Cluster_Label
1,Jawa Tengah,2022,KABUPATEN CILACAP,Orang,2,5,6,1,0,0,0,Kerentanan Relatif Rendah
2,Jawa Tengah,2022,KABUPATEN BANYUMAS,Orang,12,13,8,2,1,3,0,Kerentanan Relatif Rendah
3,Jawa Tengah,2022,KABUPATEN PURBALINGGA,Orang,7,5,9,0,0,0,0,Kerentanan Relatif Rendah
4,Jawa Tengah,2022,KABUPATEN BANJARNEGARA,Orang,4,9,4,0,0,3,0,Kerentanan Relatif Rendah
5,Jawa Tengah,2022,KABUPATEN KEBUMEN,Orang,31,20,18,0,0,2,0,Kerentanan Relatif Rendah
6,Jawa Tengah,2022,KABUPATEN PURWOREJO,Orang,5,21,4,0,0,6,0,Kerentanan Relatif Rendah
7,Jawa Tengah,2022,KABUPATEN WONOSOBO,Orang,14,52,11,0,0,12,1,Kerentanan Tinggi
8,Jawa Tengah,2022,KABUPATEN MAGELANG,Orang,7,21,10,0,0,6,0,Kerentanan Relatif Rendah
9,Jawa Tengah,2022,KABUPATEN BOYOLALI,Orang,10,17,6,0,0,7,0,Kerentanan Relatif Rendah
10,Jawa Tengah,2022,KABUPATEN KLATEN,Orang,8,15,4,3,0,5,0,Kerentanan Relatif Rendah
11,Jawa Tengah,2022,KABUPATEN SUKOHARJO,Orang,20,7,8,0,0,7,0,Kerentanan Relatif Rendah
12,Jawa Tengah,2022,KABUPATEN WONOGIRI,Orang,3,2,6,0,0,1,0,Kerentanan Relatif Rendah
13,Jawa Tengah,2022,KABUPATEN KARANGANYAR,Orang,14,2,4,0,0,0,0,Kerentanan Relatif Rendah
14,Jawa Tengah,2022,KABUPATEN SRAGEN,Orang,4,2,0,0,0,0,0,Kerentanan Relatif Rendah
15,Jawa Tengah,2022,KABUPATEN GROBOGAN,Orang,8,5,10,0,0,1,0,Kerentanan Relatif Rendah
16,Jawa Tengah,2022,KABUPATEN BLORA,Orang,4,1,0,0,0,0,0,Kerentanan Relatif Rendah
17,Jawa Tengah,2022,KABUPATEN REMBANG,Orang,4,2,2,0,0,0,0,Kerentanan Relatif Rendah
18,Jawa Tengah,2022,KABUPATEN PATI,Orang,16,1,1,0,0,0,0,Kerentanan Relatif Rendah
19,Jawa Tengah,2022,KABUPATEN KUDUS,Orang,3,5,2,0,0,2,0,Kerentanan Relatif Rendah
20,Jawa Tengah,2022,KABUPATEN JEPARA,Orang,11,3,2,0,0,1,0,Kerentanan Relatif Rendah
21,Jawa Tengah,2022,KABUPATEN DEMAK,Orang,27,14,0,0,0,9,0,Kerentanan Relatif Rendah
22,Jawa Tengah,2022,KABUPATEN SEMARANG,Orang,50,4,8,0,0,0,0,Kerentanan Relatif Rendah
23,Jawa Tengah,2022,KABUPATEN TEMANGGUNG,Orang,5,6,2,0,0,1,0,Kerentanan Relatif Rendah
24,Jawa Tengah,2022,KABUPATEN KENDAL,Orang,17,16,5,0,0,1,0,Kerentanan Relatif Rendah
25,Jawa Tengah,2022,KABUPATEN BATANG,Orang,8,3,1,0,0,0,0,Kerentanan Relatif Rendah
26,Jawa Tengah,2022,KABUPATEN PEKALONGAN,Orang,12,32,4,0,0,0,0,Kerentanan Relatif Rendah
27,Jawa Tengah,2022,KABUPATEN PEMALANG,Orang,24,4,3,1,0,0,0,Kerentanan Relatif Rendah
28,Jawa Tengah,2022,KABUPATEN TEGAL,Orang,24,29,5,0,0,7,0,Kerentanan Relatif Rendah
29,Jawa Tengah,2022,KABUPATEN BREBES,Orang,11,15,13,2,0,2,0,Kerentanan Relatif Rendah
30,Jawa Tengah,2022,KOTA MAGELANG,Orang,5,0,0,0,0,2,0,Kerentanan Relatif Rendah
31,Jawa Tengah,2022,KOTA SURAKARTA,Orang,10,13,7,0,0,4,0,Kerentanan Relatif Rendah
32,Jawa Tengah,2022,KOTA SALATIGA,Orang,8,6,4,0,0,2,0,Kerentanan Relatif Rendah
33,Jawa Tengah,2022,KOTA SEMARANG,Orang,119,56,29,0,1,26,1,Kerentanan Tinggi
34,Jawa Tengah,2022,KOTA PEKALONGAN,Orang,10,15,2,0,0,5,0,Kerentanan Relatif Rendah
35,Jawa Tengah,2022,KOTA TEGAL,Orang,5,3,4,0,0,2,0,Kerentanan Relatif Rendah
36,Jawa Barat,2022,KABUPATEN BOGOR,Orang,9,8,2,0,0,2,0,Kerentanan Relatif Rendah
37,Jawa Barat,2022,KABUPATEN SUKABUMI,Orang,12,10,8,0,35,0,3,Prioritas TPPO
38,Jawa Barat,2022,KABUPATEN CIANJUR,Orang,14,10,9,1,14,3,0,Kerentanan Relatif Rendah
